id,date_of_last_activity,avatar,number_of_messages_sent
uid-3685306948218031669,2015-01-09,false,0
uid-3685306948218031670,2015-01-10,false,1
uid-3685306948218031671,2015-01-30,false,0
uid-3685306948218031672,2015-02-05,true,7
uid-3685306948218031673,,false,0
uid-3685306948218031674,2015-01-17,false,0
uid-3685306948218031675,2015-01-17,false,0
uid-3685306948218031676,2015-01-08,false,0
uid-3685306948218031677,,false,0
uid-3685306948218031678,,false,0
uid-3685306948218031679,,false,0
uid-3685306948218031680,2015-01-26,false,0
uid-3685306948218031681,2015-01-08,false,0
uid-3685306948218031682,2015-01-09,false,0
uid-3685306948218031683,2015-02-05,false,0
uid-3685306948218031684,2015-02-02,false,0
uid-3685306948218031685,2015-02-05,true,0
uid-3688118382361809281,2015-01-21,false,0
uid-3688118382361809282,2015-01-19,false,0
uid-3688118382361809283,,false,0
uid-3688118382361809284,2015-02-04,false,0
uid-3688118382361809285,2015-01-20,false,0
uid-3688118382361809286,2015-02-04,false,12
uid-3688118382361809287,2015-01-23,true,0
uid-3688118382361809288,2015-01-21,false,0
uid-3688118382361809289,2015-02-05,false,0
uid-3688118382361809290,,false,0
uid-3688118382361809291,2015-01-22,false,0
uid-3712541270079291573,2014-04-30,false,0
uid-3740612471806260293,2015-01-28,true,0
uid-3794457166204286602,2014-12-20,false,0
uid-3829965866471051858,,false,0
uid-3883406369967967231,,false,0
uid-3883406369967967232,2014-12-05,false,0
uid-3883406369967967233,2014-12-06,false,0
uid-3883406369967967234,2014-12-05,false,0
uid-3883406369967967235,2014-12-06,false,0
uid-3883406369967967236,2014-12-18,false,0
uid-3883406369967967237,2014-12-11,false,0
uid-3883406369967967238,2015-02-06,false,0
uid-3883406369967967239,2014-12-09,false,0
uid-3883406369967967240,2015-02-05,false,0
uid-3883406369967967241,,false,0
uid-3883406369967967242,2015-02-04,false,0
uid-3883406369967967243,2014-12-07,false,0
uid-3883406369967967244,,false,0
uid-3883406369967967245,2014-12-22,false,0
uid-3883406369967967246,2014-12-24,false,0
uid-3883406369967967247,2014-12-09,false,0
uid-3883406369967967248,2014-12-09,false,0
uid-3883406369967967249,2015-02-06,false,0
uid-3883406369967967250,2014-12-24,false,0
uid-3883406369967967251,2014-12-22,false,0
uid-3883406369967967252,2014-12-09,false,0
uid-3883406369967967253,2015-01-11,false,0
uid-3883406369967967254,2015-01-26,false,0
uid-3883406369967967255,2015-02-06,false,0
uid-3883406369967967256,2014-12-14,false,0
uid-3883406369967967257,2015-02-05,true,0
uid-3883406369967967258,,false,0
uid-3883406369967967259,2014-12-10,false,0
uid-3885606395984743367,2014-10-24,false,0
uid-3915743569966696722,,false,0
uid-3916586268100219809,2015-02-06,false,2
uid-3916586268100219810,,false,0
